s00473, (51, 7.6583976058295455), (57, 76.93681891934162), (46, 296.15164486685194), (57, 0.0), 
s00523, (32, 3.6624164082337263), (21, 42.856188405305915), (11, 336.2198589695412), (58, 0.0), 
s00495, (10, 1.9342784464089842), (10, 41.44184423261798), (0, 279.7729135708901), (0, 0.0), 
s00500, (55, 3.955759281223678), (108, 153.98397435815411), (52, 316.6257964814174), (58, 0.0), 
s00512, (85, 3.092569043221823), (70, 125.48496922477473), (51, 409.438343119997), (58, 0.0), 
s00483, (113, 4.715877700857153), (71, 90.3786472304526), (5, 336.86532702815526), (0, 0.0), 
s00516, (34, 3.6897108367020373), (57, 11.637008725984003), (57, 280.30557555060034), (57, 0.0), 
s00462, (60, 3.8115424638345012), (69, 103.66264158090382), (41, 277.04516945654865), (0, 0.0), 
s00503, (111, 3.3343687735700502), (26, 67.02968102434534), (100, 306.2722101642042), (0, 0.0), 
s00504, (40, 7.448928537186615), (41, 108.981564201387), (9, 280.26237545122524), (58, 0.0), 
s00465, (97, 5.549064072434556), (60, 35.818723255794616), (38, 280.0234033837796), (58, 0.0), 
s00522, (26, 3.4150408674629213), (27, 118.59769489508383), (5, 387.456955921681), (58, 0.0), 
s00498, (62, 2.4101986669899755), (28, 51.010493926706005), (15, 302.4159529831751), (58, 0.0), 
s00507, (58, 4.013939998316582), (81, 13.46766622525205), (86, 272.9849543283934), (58, 0.0), 
s00524, (0, 1.8260886469462223), (67, 51.88448252801247), (36, 221.16059956494064), (58, 0.0), 
s00490, (82, 3.08308189680585), (38, 83.38474973339649), (88, 362.4974860288886), (0, 0.0), 
s00502, (86, 1.6467614401717223), (74, 65.02741426500506), (61, 429.6838787833516), (58, 0.0), 
s00463, (81, 4.746534075528887), (8, 117.92707560236872), (89, 284.1876296626156), (58, 0.0), 
s00479, (25, 3.2249939774355374), (27, 99.3163546522159), (42, 330.2671628836583), (58, 0.0), 
s00513, (16, 2.4120348207282776), (75, 43.44289044200936), (112, 200.64219807174942), (58, 0.0), 
s00501, (87, 4.18447606035343), (110, 41.503491881589696), (48, 316.8575186687583), (0, 0.0), 
s00482, (77, 1.259511008651734), (18, 12.760131354641718), (9, 237.5537101784942), (0, 0.0), 
s00488, (57, 2.538647356268982), (69, 13.883170439045237), (39, 433.09441769772144), (58, 0.0), 
s00499, (89, 4.552958393306053), (36, 70.23378755610679), (67, 425.64071425613787), (58, 0.0), 
s00469, (72, 2.226989633255989), (49, 28.725761797214933), (35, 284.5619731852327), (0, 0.0), 
s00464, (9, 3.6022539063422774), (60, 36.51316820450625), (53, 293.07392043473345), (0, 0.0), 
s00520, (110, 2.7059021722133045), (11, 79.77728327106993), (92, 429.09936468257547), (58, 0.0), 
s00515, (56, 7.5361436898153515), (16, 42.89403512657113), (24, 306.29049823059), (0, 0.0), 
s00518, (76, 3.629611660729927), (47, 93.43801352973298), (21, 282.8999420822278), (58, 0.0), 
s00474, (45, 4.886173048921261), (2, 25.811994399872493), (47, 341.28800101958825), (58, 0.0), 
s00471, (58, 4.666570084415456), (19, 122.11436056900484), (106, 398.5335752588461), (58, 0.0), 
s00517, (77, 6.8167997361798935), (27, 64.45981199977956), (102, 326.59967372935625), (58, 0.0), 
s00491, (53, 4.6687002578006), (103, 43.76534631298959), (100, 372.6194668128671), (58, 0.0), 
s00489, (87, 4.289272969622653), (93, 122.170692325787), (51, 302.0299882462011), (58, 0.0), 
s00470, (48, 6.443821968510516), (21, 84.07275724506286), (41, 277.64782562153425), (57, 0.0), 
s00508, (4, 2.691530083141595), (67, 11.072645529465214), (74, 284.8035530238243), (58, 0.0), 
s00505, (80, 8.166769590377887), (84, 170.95189432265838), (53, 282.9547990808875), (58, 0.0), 
s00492, (52, 7.271788018183575), (38, 50.935327015913884), (95, 292.43692731034866), (0, 0.0), 
s00475, (74, 2.355437742568418), (75, 12.017972136411771), (64, 346.3681241927767), (58, 0.0), 
s00509, (33, 4.868472734764456), (106, 75.68599031062573), (98, 298.40248214947326), (58, 0.0), 
s00497, (75, 4.074589543176457), (14, 116.3414816292518), (110, 310.752972559157), (0, 0.0), 
s00472, (44, 2.8483388944791885), (25, 65.52962977353512), (74, 323.19377111307085), (58, 0.0), 
s00466, (47, 2.2643856241682605), (56, 22.77262233254863), (66, 296.5662754981834), (0, 0.0), 
s00460, (45, 2.3883990658317384), (70, 52.000734062250814), (44, 390.8696519036517), (57, 0.0), 
s00519, (12, 4.023203545714006), (4, 59.21610430970249), (34, 384.04842190905794), (55, 0.0), 
s00480, (93, 3.35198386163608), (103, 35.13674729339866), (90, 309.6302052429895), (58, 0.0), 
s00494, (111, 1.9967600518641255), (81, 49.09499243433922), (32, 290.0085595101085), (58, 0.0), 
s00510, (33, 7.584082045592355), (82, 168.80370249579676), (107, 278.7909456075056), (58, 0.0), 
s00487, (74, 2.040145407516081), (70, 76.87285665418511), (76, 307.0329839687075), (58, 0.0), 
s00485, (40, 3.722083917344226), (99, 38.95539976339463), (109, 319.03404995266726), (0, 0.0), 
s00468, (70, 4.045302028413877), (64, 115.79895024965296), (57, 344.68849095519465), (58, 0.0), 
s00476, (82, 2.9531999970200506), (35, 67.01760365076747), (56, 307.80886377261277), (0, 0.0), 
s00496, (67, 3.128622651221209), (110, 40.65502015334665), (39, 286.129008308424), (58, 0.0), 
